Language,Level of Endangerment,Number of Speakers,Linguistic Family,Countries,Coordinates
Al-Sayyid Bedouin Sign Language,Endangered,>150,Sign Language; Near Eastern,Israel ,"30.377614, 34.886169"
Alabama,Endangered,250-300,Muskogean,USA ,"30.7158,-94.7028"
Alabat Island Agta,Critically Endangered,50,Austronesian; Malayo-Polynesian; Greater Central Philippine,Philippines ,"14.1209,122.0282"
Alabugat Tatar,Threatened,~400,Turkic; Kipchak,Russia ,"43.59, 46.66"
Alago,Vulnerable,"15,000",Niger-Congo; Atlantic-Congo; Benue-Congo; Idomoid,Nigeria ,"8.110174, 9.142930;8.492577, 8.518839"
Alagwa,Threatened,"<10,000",Afro-Asiatic; Cushitic; South Cushitic,Tanzania ,"-5.5,35.75"
Alamblak,Threatened,"1,200",Sepik; Sepik Hill; Eastern Sepik Hill,Papua New Guinea ,"-4.66, 143.32"
Alawa,Critically Endangered,17,Gunwinyguan; Maran,Australia ,"-15.53391918,134.2028228"
Albarradas Zapotec,Threatened,"5,500",Otomanguean; Zapotecan,Mexico ,"17.066921, -96.200710"
Alekano,Vulnerable,"25,000",Trans-New Guinea; Kainantu-Goroka,Papua New Guinea ,"-6.0,145.416666667"
Aleut,Endangered,70-100,Eskimo-Aleut; Aleut,Russia USA ,"54.7212,-164.4433; 52.2304,-174.1978"
Alfendio,Endangered,633,Arafundi,Papua New Guinea ,"-4.75, 143.64"
Algherese Catalan,Vulnerable,"20,000-30,000",Indo-European; Italic; Romance; Western Romance,Italy ,"40.564318,8.328667"
Allar,Endangered,350,Dravidian; South-Central Dravidian,India ,"11.108169,76.166224"
Alngith,Critically Endangered,3,Pama-Nyungan; Paman,Australia ,"-12.57310489,141.8691543"
Alto MaraÃ±Ã³n Quechua,Vulnerable,"83,400",Quechuan; Central Quechua; Ap-am-ah,Peru ,"-9.932, -76.242"
Alu,Threatened,"1,880",Torricelli; Wapei,Papua New Guinea ,"-3.39, 142.25"
Alu Kurumba,Threatened,"~1,000",Dravidian; South Dravidian,India ,"11.35, 76.80"
Alune,Vulnerable,"17,200",Austronesian; Malayo-Polynesian; Central Maluku; Nunusaku,Indonesia ,"-3.0,128.333333333"
Aluo,Endangered,"<40,000",Sino-Tibetan; Lolo-Burmese,China ,"25.9368, 102.1839"
Alutiiq,Severely Endangered,200,Eskimo-Aleut; Eskimo; Yupik,USA ,"57.793056, -152.394167"
Alutor,Severely Endangered,"<2,000",Chukotko-Kamchatkan; Chukotkan,Russia ,"61.0,165.0"
Alyawarr,Vulnerable,"1,664",Pama-Nyungan; Arandic,Australia ,"-22.29152242,135.9637093"
Ama,Vulnerable,450,Left May,Papua New Guinea ,"-4.20, 141.66"
Amahai,Critically Endangered,50,Austronesian; Malayo-Polynesian; Central Maluku; Nunusaku,Indonesia ,"-3.3352, 128.9314"
Amahuaca,Severely Endangered,~100,Pano-Tacanan; Mainline,Brazil Peru ,"-10.5,-72.5"
Amal,Endangered,388,Sepik,Papua New Guinea ,"-4.05, 142.00"
Amami-North Okinawan,Endangered,"~100,000",Japonic; Ryukyuan; Northern Ryukyuan,Japan ,"28.3672,129.4958; 26.7186,128.2131; 28.3672,129.4958; 26.7186,128.2131; 28.3672,129.4958; 28.3672,129.4958; 26.7186,128.2131"
Amanab,Threatened,"3,500",Border; Waris,Indonesia Papua New Guinea ,"-3.55, 141.18"
AmanayÃ©,Dormant,0?,Tupian; Tupi-Guaranian; Xingu,Brazil ,"-3.7327,-49.1088"
Amara,Endangered,<231,Austronesian; Malayo-Polynesian; Oceanic; North New Guinea,Papua New Guinea ,"-5.516550, 148.765182; -5.485110, 148.676949; -5.533295, 148.588715"
Ambakich,Endangered,770,Lower Sepik-Ramu; Ramu; Grass,Papua New Guinea ,"-4.20, 144.25"
Ambele,Vulnerable,"3,600",Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid,Cameroon ,"5.868,9.765"
Ambulas,Vulnerable,"33,000",Sepik; Ndu,Papua New Guinea ,"-3.78, 143.06"
Ampari,Threatened,"5,200",Niger-Congo; Dogon; West Dogon,Mali ,"14.257728, -3.90712"
Amto,Endangered,230,Amto-Musan,Papua New Guinea ,"-4.052936077, 141.3284454"
Amuesha,Threatened,"8,000",Arawakan; Southern Arawakan; Western,Peru ,"-10.5,-75.4166666667"
Amur Nivkh,Severely Endangered,<500,Nivkh,Russia ,"53.2684,140.4107"
Amurdak,Critically Endangered,5-Mar,Iwaidjan,Australia ,"-11.149603,132.576973"
Anaang,Vulnerable,"733,040",Niger-Congo; Atlantic-Congo; Benue-Congo; Delta Cross,Nigeria ,"5.193697,7.933819; 4.990398,7.763793; 4.943625,7.577806; 4.846049,7.749283;"
Anakalangu,Vulnerable,">25,000",Austronesian; Malayo-Polynesian; Sumba-Hawu,Indonesia ,"-9.576376, 119.586182"
Anam,Threatened,"1,070",Trans-New Guinea; Madang,Papua New Guinea ,"-4.811839, 145.008545"
Andajin,Critically Endangered,2,Worrorran; Southern Worrorran,Australia ,"-17.37660823,126.2592854"
Andarum,Endangered,830,Lower Sepik-Ramu; Ramu; Ataitan,Papua New Guinea ,"-4.49, 144.77"
Ande,Endangered,500,Austronesian; Malayo-Polynesian; Oceanic; Northern Vanuatu,Vanuatu ,"-15.470705,166.936238;"
Andi,Vulnerable,"10,000-20,000",Northeast Caucasian; Daghestanian; Andic,Russia ,"42.75,46.25"
Andio,Threatened,"1,700",Austronesian; Malayo-Polynesian; Celebic; Saluan-Banggai,Indonesia ,"-.8514,123.1457"
Andoa,Dormant,Ã˜,Zaparoan,Peru ,"-2.6796,-76.2011"
Andoque,Endangered,597,Isolate; South American,Colombia ,"-0.666666666667,-72.0"
AnejomÌƒ,Endangered,900,Austronesian; Malayo-Polynesian; Oceanic,Vanuatu ,"-20.176517,169.813967;"
Anfillo,Endangered,~500,Afro-Asiatic; Omotic; Gonga,Ethiopia ,"8.5049,34.7415"
Angor,Threatened,"1,250",Senagi,Papua New Guinea ,"-3.72, 141.20"
Angoram,Threatened,"6,514",Lower Sepik-Ramu; Lower Sepik,Papua New Guinea ,"-4.08, 144.03"
Anii,Vulnerable,"<25,000",Niger-Congo; Atlantic-Congo; Kwa,Togo Benin ,"9.032,1.657; 9.234,1.554"
Animere,Severely Endangered,30,Niger-Congo; Atlantic-Congo; Kwa,Ghana ,"7.6129,.4064"
Anindilyakwa,Threatened,"~1,500",Gunwinyguan; East Arnhem,Australia ,"-14.05312996,136.6124148"
Anmatyerre,Threatened,501-1000,Pama-Nyungan; Arandic,Australia ,"-21.98277477,133.4290339"
Anong,Critically Endangered,~ 4040 (40 in China),Sino-Tibetan; Nungish,China Myanmar ,"27.100, 98.700"
Anor,Endangered,450,Lower Sepik-Ramu; Ramu; Middle Ramu,Papua New Guinea ,"-4.98, 144.80"
Antakirinya,Severely Endangered,50,Pama-Nyungan; Wati,Australia ,"-27.05245189,134.4007513"
Antekerrepenh,Critically Endangered,Very few,Pama-Nyungan; Arandic,Australia ,"-23.23189623,139.9715594"
Anuki,Threatened,574,Austronesian; Malayo-Polynesian; Oceanic; Papuan Tip,Papua New Guinea ,"-9.6522,149.7656"
Anus,Endangered,320,Austronesian; Malayo-Polynesian; Oceanic; North New Guinea,Indonesia ,"-2.1268, 139.5126"
Anuta,Endangered,up to 340,Austronesian; Malayo-Polynesian; Oceanic; Polynesian,Solomon Islands ,"-11.611, 169.85"
Ap Ma,Threatened,"6,500",Isolate,Papua New Guinea ,"-4.35, 144.09"
ApalaÃ­,Endangered,317,Cariban,Brazil ,"0.0,-54.0"
Apatani,Vulnerable,"~14,000",Sino-Tibetan; Tani,India ,"27.5,93.75"
ApiakÃ¡,Dormant,Ã˜,Tupian; Tupi-Guaranian; Tupi-Kawahib,Brazil ,"-11.1519,-57.3113"
ApinayÃ©,Threatened,"1,500",Jean; Northern Je,Brazil ,"-5.5,-48.0"
ApurinÃ¡,Endangered,~400,Arawakan; Southern Arawakan; Southern Outlier,Brazil ,"-9.0,-67.0"
Aputai,Endangered,150,Austronesian; Malayo-Polynesian; Timor,Indonesia ,"-7.6511, 126.4086"
Arabela,Critically Endangered,30,Zaparoan,Peru ,"-2.0,-75.1666666667"
Aragonese,Endangered,"<10,000",Indo-European; Italic; Romance; Western Romance,Spain ,"42.2935,-.4394"
Araki,Critically Endangered,15,Austronesian; Malayo-Polynesian; Oceanic; Northern Vanuatu,Vanuatu ,"-15.632, 166.952"
Aranadan,Endangered,200,Dravidian; South Dravidian,India ,"11.35, 75.8"
Araona,Endangered,111,Pano-Tacanan; Takana,Bolivia ,"-12.4473,-68.1372"
Arapaho,Severely Endangered,"~1,000",Algic; Algonquian; Arapahoan,USA ,"43.0139,-108.8214"
ArawetÃ©,Endangered,339,Tupian; Tupi-Guaranian; Xingu,Brazil ,"-5.1347,-52.3388"
Arawum,Severely Endangered,60,Trans-New Guinea; Madang,Papua New Guinea ,"-5.5093,145.8929"
ArbÃ«reshÃ«,Vulnerable,"<100,000",Indo-European; Albanian; Tosk,Italy ,"40.9321,14.8645"
Arbore,Threatened,"4,441",Afro-Asiatic; Cushitic; Lowland East Cushitic,Ethiopia ,"5.0,36.75"
Archi,Threatened,"1,237",Northeast Caucasian; Daghestanian; Lezgic,Russia ,"42.0,46.8333333333"
Arem,Critically Endangered,<100,Austro-Asiatic; Vietic; Pong-Chut,Vietnam Laos ,"18.1771,105.3369"
Argobba,Vulnerable,"10,860",Afro-Asiatic; Semitic; Ethiopic,Ethiopia ,"10.5958,39.9792"
Arguni,Endangered,150,Austronesian; Malayo-Polynesian; South Halmahera-West New Guinea,Indonesia ,"-2.6632, 132.5418"
ArhÃ¢,Severely Endangered,35,Austronesian; Malayo-Polynesian; Oceanic; New Caledonian,New Caledonia ,"-21.3047,165.0146"
ArhÃ¶,Severely Endangered,62,Austronesian; Malayo-Polynesian; Oceanic; New Caledonian,New Caledonia ,"-21.274,165.0503"
Ari,Severely Endangered,50,Trans-New Guinea; Gogodalic,Papua New Guinea ,"-8,142.40"
Ariba,Critically Endangered,2,Pama-Nyungan; Paman,Australia ,"-17.120653,141.833361"
Arifama-Miniafia,Threatened,"3,470",Austronesian; Malayo-Polynesian; Oceanic; Papuan Tip,Papua New Guinea ,"-9.518239975,149.349884"
ArikapÃº,Critically Endangered,1,Jabutian,Brazil ,"-12.0527,-64.7259"
Arikara,Critically Endangered,<10,Caddoan,USA ,"47.648,-101.8327"
Aromanian,Threatened,"350,000",Indo-European; Italic; Romance; Eastern Romance,Bulgaria Romania Greece Macedonia Albania Bosnia and Herzegovina Serbia ,"40.2292,21.1376"
Arta,Critically Endangered,11,Austronesian; Malayo-Polynesian; Northern Luzon,Philippines ,"16.216, 121.599"
Aru,Endangered,270,Torricelli; Palei; Mol; Oru,Papua New Guinea ,"-3.45706296, 142.539093"
AruÃ¡,Critically Endangered,5,Tupian; Mondean,Brazil ,"-12.0285,-64.7094"
Aruamu,Threatened,"5,350",Lower Sepik-Ramu; Ramu; Lower Ramu,Papua New Guinea ,"-4.29, 144.84"
Aruek,Endangered,614,Torricelli; Kombian,Papua New Guinea ,"-3.38, 142.72"
Aruop,Endangered,700,Torricelli; Palei,Papua New Guinea ,"-3.46, 142.48"
Arvanitika,Vulnerable,"50,000",Indo-European; Albanian; Tosk,Greece ,"38.1863, 23.6096"
As,Endangered,230,Austronesian; Malayo-Polynesian; South Halmahera-West New Guinea,Indonesia ,"-.736,131.7727"
Asaba,Threatened,145,Isolate,Papua New Guinea ,"-5.0526,141.9818"
AshÃ©ninka,Vulnerable,"20,000",Arawakan; Southern Arawakan; Campa,Brazil Peru ,"-10.933333, -75.266667"
Ashkun,Threatened,"<7,000",Indo-European; Indo-Iranian; Nuristani,Afghanistan ,"34.9973,71.0746"
Ashtiani,Vulnerable,"21,100",Indo-European; Indo-Iranian; Iranian; Western Iranian,Iran ,"34.4861,51.0562"
Assangori,Vulnerable,"23,500",Taman,Sudan Chad ,"13.75,21.5"
Assiniboine,Endangered,<150,Siouan; Mississippi Valley Siouan; Dakota,USA Canada ,"48.4466,-114.8783; 50.3536,-103.4841"
Asturian,At Risk,"110,000",Indo-European; Italic; Romance; Western Romance,Spain Portugal ,"43.357138,-5.865532; 42.596565,-5.571648; 41.504464,-5.746056; 41.49945,-6.271331; 41.585661,-6.524609"
Asumboa,Severely Endangered,10,Austronesian; Malayo-Polynesian; Oceanic; Temotu,Solomon Islands ,"-11.2982,166.4868"
AsunciÃ³n Mixtepec Zapotec,Severely Endangered,100,Otomanguean; Zapotecan,Mexico ,"16.88, -96.87"
Asuri,Threatened,"~7,000",Austro-Asiatic; Munda; North Munda; Kherwarian,India ,"22.4719,84.9023"
AsurinÃ­ of XingÃº,Endangered,125,Tupian; Tupi-Guaranian; Xingu,Brazil ,"-3.9095,-52.4707"
Ata,Critically Endangered,4,Austronesian; Malayo-Polynesian; Greater Central Philippine; Bisayan,Philippines ,"9.6081,122.9155"
Atampaya,Critically Endangered,4,Pama-Nyungan; Paman,Australia ,"-11.48211057,142.3743784"
Athpariya,Threatened,"< 3,658",Sino-Tibetan; Kiranti,Nepal ,"26.952,87.3399"
Ati (Philippines),Threatened,"1,500",Austronesian; Malayo-Polynesian,Philippines ,"11.15, 122.51"
Ati (Vanuatu),Severely Endangered,85,"Austronesian, Malayo-Polynesian, Oceanic, Northern Vanuatu",Vanuatu ,"-15.393926,166.966450;"
Atin,Endangered,120,Austronesian; Malayo-Polynesian; Oceanic; Northern Vanuatu,Vanuatu ,"-15.441585, 166.980183;"
Atong (Cameroon),Vulnerable,"4,200",Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid,Cameroon ,"6.044967, 9.748787"
Atong (India),Threatened,unknown,Sino-Tibetan; Brahmaputran,India ,"25.2844,91.1755"
Attikamek,Vulnerable,"~3,000",Algic; Algonquian; Cree-Montagnais,Canada ,"48.0,-74.0"
