Language,Level of Endangerment,Number of Speakers,Linguistic Family,Countries,Coordinates
Masep,Severely Endangered,25,Isolate; Pacific,Indonesia ,"-1.7575,138.3178"
Mashco Piro,Endangered,200-600,Arawakan; Southern Arawakan; Southern Outlier,Peru ,"-12.0822,-69.7412"
Masimasi,Severely Endangered,10,Austronesian; Malayo-Polynesian; Oceanic; North New Guinea,Indonesia ,"-2.01, 139.04"
Maslam,Threatened,"5,000-6,000",Afro-Asiatic; Chadic; Biu-Mandara,Cameroon Chad ,"12.136,14.6914"
Massalat,Severely Endangered,10,Maban,Chad ,"12.7635,20.5993"
Mati Ke,Critically Endangered,3-Feb,Western Daly,Australia ,"-14.004314,129.855606"
MatÃ­s,Endangered,>280,Pano-Tacanan; Mayoruna,Brazil ,"-4.41666666667,-70.25"
Matlatzinca,Threatened,"1,134",Otomanguean; Otopamean,Mexico ,"19.39, -99.92; 19.36, -100.06"
Matngele,Critically Endangered,15-20,Eastern Daly,Australia ,"-13.940756,130.611972"
MatsÃ©s,Threatened,2200,Pano-Tacanan; Mayoruna,Brazil Peru ,"-5.283333,-73.15"
Mavea,Critically Endangered,32,Austronesian; Malayo-Polynesian; Oceanic; Northern Vanuatu,Vanuatu ,"-15.384, 167.230"
Mawak,Severely Endangered,25,Trans-New Guinea; Madang,Papua New Guinea ,"-4.5819,145.3079"
Mawan,Endangered,470,Trans-New Guinea; Madang,Papua New Guinea ,"-5.164199829,145.6166992"
Mawayana,Critically Endangered,2,Arawakan; Northern Arawakan; Maritime,Brazil Guyana Suriname ,"1.5159,-58.4143"
MawÃ©,Threatened,"6,219",Tupian,Brazil ,"-3.8642,-56.7773"
Mawes,Endangered,693,Isolate,Indonesia ,"-2.37, 139.75"
Mawng,Vulnerable,~300,Iwaidjan,Australia ,"-12.06446118,133.060671"
MaxakalÃ­,Threatened,"1,271",Maxakalian,Brazil ,"-18.0,-40.0"
Maxineri,Endangered,950,Arawakan; Southern Arawakan; Southern Outlier,Brazil Bolivia ,"-10.5742,-70.4882"
May,Endangered,~500,Austro-Asiatic; Vietic; Pong-Chut,Vietnam Laos ,"17.981492,105.622181"
May River Iwam,Threatened,"3,000",Sepik; Iwam,Papua New Guinea ,"-4.27, 141.82"
Mayi-Kutuna,Critically Endangered,2,Pama-Nyungan; Mayabic,Australia ,"-18.64602942,139.6972619"
Mayi-Yapi,Dormant,No known L1 speakers,Pama-Nyungan; Paman,Australia ,"-19.194796, 140.468383"
Mayo,Vulnerable,"32,702",Uto-Aztecan; Southern Uto-Aztecan; Cahitan,Mexico ,"26.45, -108.98"
Mbara (Chad),Endangered,"<1,000",Afro-Asiatic; Chadic; Biu-Mandara,Chad ,"11.0,15.4166666667"
Mbariman-Gudhinma,Critically Endangered,3,Pama-Nyungan; Paman,Australia ,"-14.629469,143.850325"
Mbiywom,Dormant,0?,Pama-Nyungan; Paman,Australia ,"-12.89620501,142.2710997"
Mbonga,Threatened,"1,490",Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid,Cameroon ,"5.6, 13.8"
Mbowe,Threatened,"2,690",Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid,Zambia ,"-14.154511, 22.017453"
Mbre,Endangered,200,Niger-Congo; Atlantic-Congo,CÃ´te d'Ivoire ,"8.20929, -5.72944"
Mbugu,Threatened,"~7,000",Mixed Language; Bantu-Cushitic,Tanzania ,"-4.704289, 38.378472; -4.866254, 38.465140;"
Mbwenelang,Critically Endangered,<10,Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu,Vanuatu ,"-16.348447,167.737211;"
MbyÃ¡,Vulnerable,"19,924",Tupian; Tupi-Guaranian; Guarani,Brazil Argentina Paraguay Uruguay ,"-26.5099, -55.2832"
Mea,Endangered,300,Austronesian; Malayo-Polynesian; Oceanic; New Caledonian,New Caledonia ,"-21.6141,165.7836"
Meakambut,Endangered,100,Arafundi,Papua New Guinea ,"-4.96, 143.64"
Mebengokre,Threatened,"7,266",Jean; Northern Je,Brazil ,"-9.0,-52.0"
Megleno-Romanian,Threatened,"5,000",Indo-European; Italic; Romance; Eastern Romance,Greece Macedonia ,"41.1042,22.2025"
Mehek,Threatened,"<4,027",Sepik; Tama,Papua New Guinea ,"-3.71, 142.50"
MehinÃ¡ku,Endangered,227,Arawakan; Southern Arawakan; Central,Brazil ,"-12.5423,-53.2403"
Mehri,At Risk,"100,000",Afro-Asiatic; Semitic; Modern South Arabian,Yemen Oman Kuwait ,"16.5993,52.8057"
MekÃ©ns,Critically Endangered,22,Tupian; Tuparian,Brazil ,"-12.5, -61.5"
Mekmek,Threatened,"1,036",Yuat,Papua New Guinea ,"-4.47, 143.75"
Mende,Threatened,"<5,057",Sepik; Nukuma,Papua New Guinea ,"-3.75, 142.75"
Menka,Vulnerable,"5,200",Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid,Cameroon ,"5.885162, 9.833596"
Menominee,Severely Endangered,35,Algic; Algonquian,USA ,"44.9356,-88.6144"
Meoswar,Endangered,250,Austronesian; Malayo-Polynesian; South Halmahera-West New Guinea,Indonesia ,"2.08, 134.38"
Mer (Indonesia),Severely Endangered,85,Trans-New Guinea; Mairasi,Indonesia ,"-3.38, 134.73"
Merei,Endangered,400,Austronesian; Malayo-Polynesian; Oceanic; Northern Vanuatu,Vanuatu ,"-15.2656,166.9104"
Meriam,Endangered,320,Eastern Trans-Fly,Australia ,"-9.91666666667,144.083333333"
Mescalero-Chiricahua,Threatened,">1,500",Athabaskan-Eyak-Tlingit; Athabaskan; Apachean,USA ,"33.1514,-105.7942; 34.8986,-98.3589"
Mexican Sign Language,Vulnerable,"87,000-100,000","Sign Language; Mexican, Central American, or Caribbean",Mexico ,"19.433333, -99.133333"
Meymai,Threatened,~2000,Indo-European; Indo-Iranian; Iranian; Northwest; Central Plateau,Iran ,"35.34, 53.24"
Mezquital OtomÃ­,At Risk,"100,000",Otomanguean; Otopamean,Mexico ,"20.1666666667, -99.1666666667"
Mi'kmaq,Threatened,"8,145",Algic; Algonquian; Eastern Algonquian,USA Canada ,"44.995883,-63.658081; 46.24825,-60.876068; 46.339343,-63.402924; 48.727209,-65.69989; 46.354511,-64.755066; 46.769968,-67.834499; 42.357529,-71.065166"
Mian,Threatened,"1,750",Trans-New Guinea; Ok; Mountain Ok,Papua New Guinea ,"-4.9, 141.6"
Michif,Critically Endangered,~200,Mixed Language; French-Cree,USA Canada ,"52.0,-100.166666667"
Midah,Threatened,"1,000",Afro-Asiatic; Chadic; Biu-Mandara,Cameroon Chad ,"11.3231,14.9839"
Middle Southeastern Chinantec,Vulnerable,"77,087",Otomanguean; Chinantecan,Mexico ,"17.567447,-95.940964"
Midland Mixe,Threatened,"8000-13,000",Mixe-Zoquean; Mixean,Mexico ,"16.947020, -96.014028"
Miju-Mishmi,Threatened,"~9,000",Sino-Tibetan; Midzu,India China ,"29.0,96.0"
Mikasuki,Threatened,~500?,Muskogean,USA ,"26.3202,-80.9877"
Milang,Vulnerable,"2,150",Unclassified,India ,"28.431389,95.041667"
Miltu,Endangered,<300,Afro-Asiatic; Chadic; East Chadic,Chad ,"10.2149,17.3913"
Minderico,Severely Endangered,150,Ibero-Romance; Indo-European,Portugal ,"39.517, -8.683"
Mindiri,Endangered,~90,Austronesian; Malayo-Polynesian; Oceanic; North New Guinea,Papua New Guinea ,"-5.5517,146.1538"
Mingrelian,At Risk,"344,000",South Caucasian,Georgia ,"42.014440, 43.566671"
Minhe Monguor,Vulnerable,25000,Mongolic; Shirongolic; Northern Shirongolic,China ,"36.4919, 102.6452"
Minica Huitoto,Threatened,"7,343",Witotoan,Peru Colombia ,"-1.0,-74.0"
Minriq,Endangered,~145,Austro-Asiatic; Aslian; North Aslian; Menraq-Batek,Malaysia ,"5.01, 102.05"
Mintil,Severely Endangered,40,Austro-Asiatic; Aslian; North Aslian; Menraq-Batek,Malaysia ,"4.59, 101.99"
Minyong,Vulnerable,"~20,000",Sino-Tibetan; Tani,India ,"28.2632, 95.0537"
Miqie Yi,Threatened,"8,000",Sino-Tibetan; Lolo-Burmese,China ,"25.385286, 102.454376; 25.453369, 102.423347; 25.581697, 102.570808; 25.620361, 102.346939; 25.586885, 102.247009"
Miranda do Douro,Vulnerable,"15,000",Indo-European; Italic; Romance; Western Romance,Spain Portugal ,"41.4958535, -6.2738577"
Mirniny,Critically Endangered,1,Pama-Nyungan; Mirning,Australia ,"-31.4815611,127.8200044"
Misantla Totonac,Endangered,500,Totonacan; Totonac,Mexico ,"20.298178,-97.536594"
Mising,At Risk,"551,224",Sino-Tibetan; Tani,India ,"28.5,94.8333333333"
MÃ­skito,At Risk,"150,000",Misumalpan,Honduras Nicaragua ,"15.16, -84.29"
Mithaka,Dormant,0?,Pama-Nyungan; Karnic,Australia ,"-25.13606725,139.598447"
Mixed Great Andamanese,Critically Endangered,7,Great Andamanese,India ,"12.240707,92.892052"
Mixtepec Mixtec,Threatened,"9,170",Otomanguean; Mixtecan,Mexico ,"17.31, -97.89"
Mixtepec Zapotec,Threatened,"7,000",Otomanguean; Zapotecan,Mexico ,"16.3333333333,-96.3333333333"
Miyak,Endangered,548,Yuat,Papua New Guinea ,"-4.67, 143.85"
Miyako,Severely Endangered,"10,000-15,000",Japonic; Ryukyuan; Southern Ryukyuan,Japan ,"24.8004,125.2798"
Mkir,Endangered,180,Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu,Vanuatu ,"-16.743822,168.165108"
Mlabri,Threatened,<400,Austro-Asiatic; Khmuic; Pray-Pram,Thailand Laos ,"18.5,101.0"
Mlap,Endangered,300,Nimboran,Indonesia ,"-2.5383,140.2061"
Mlomp,Threatened,"5,400",Niger-Congo; Atlantic-Congo; Central Atlantic,Senegal ,"12.7421,-16.4904"
Mo'ang,Threatened,">5,000",Sino-Tibetan; Lolo-Burmese,China Vietnam ,"23.8421, 103.9116; 22.7833, 105.3666"
Mo'da,Endangered,600,Central Sudanic; Bongo-Bagirmi,South Sudan ,"6.5008,29.9377"
MÃ³cheno,Threatened,"1,900",Indo-European; Germanic; West Germanic; High German,Italy ,"46.1194,11.3258"
Mocho',Critically Endangered,<30,Mayan; Qâ€™anjobâ€™alan-Chujean,Mexico ,"15.3709,-92.2484"
MocovÃ­,Threatened,"2,780",Guaicuruan,Argentina ,"-28.0, -60.5"
Moere,Severely Endangered,50,Trans-New Guinea; Madang,Papua New Guinea ,"-4.6038,145.437"
Mohawk,Endangered,"3,850",Iroquoian; Northern Iroquoian,USA Canada ,"42.9116,-74.5587; 45.0033,-74.6497; 44.189,-77.1494; 45.4013,-73.6677"
"Moi (Maluku, Indonesia)",Vulnerable,"~12,000",North Halmahera,Indonesia ,"0.3891447,127.3244647"
Moiso,Endangered,100,Austronesian; Malayo-Polynesian; Oceanic; Northern Vanuatu,Vanuatu ,"-15.442909,166.859333;"
Mojave,Critically Endangered,<100,Cochimi-Yuman; Yuman,USA ,"34.0231,-114.5045"
Moji,Vulnerable,>400,Sino-Tibetan; Lolo-Burmese,China ,"23.6,102.7333"
Mokerang,Endangered,200,Austronesian; Malayo-Polynesian; Oceanic; Admiralty Islands,Papua New Guinea ,"-2.02, 147.42"
Mokilese,Threatened,"1,230",Austronesian; Malayo-Polynesian; Oceanic; Micronesian,Micronesia ,"6.66666666667,159.75"
Moksha,At Risk,"200,000",Uralic; Mordvin,Russia ,"54.0,44.0"
Molo,Endangered,~100,Eastern Jebel,Sudan ,"10.898,34.2773"
Momare,Endangered,374,Trans-New Guinea; Finisterre-Huon,Papua New Guinea ,"-6.34, 147.79"
Mombo,Vulnerable,"19,000",Niger-Congo; Dogon; West Dogon,Mali ,"14.376155, -3.664799"
Mombum,Endangered,250,Trans-New Guinea; Mombum,Indonesia ,"-8.25,138.75"
Momina,Endangered,200,Trans-New Guinea; Somahai,Indonesia ,"-4.81, 139.82"
Momuna,Threatened,"2,000",Trans-New Guinea; Somahai,Indonesia ,"-4.83333333333,139.25"
MondÃ©,Dormant,Ã˜,Tupian; Mondean,Brazil ,"-8.7602,-63.9074"
Mongol-Kaimba,Endangered,338,Mongol-Langam-Ulwa,Papua New Guinea ,"-4.26, 143.92; -4.28, 143.96"
Mono (Democratic Republic of the Congo),Vulnerable,62102,Niger-Congo; Atlantic-Congo; North Volta-Congo; Gur,Democratic Republic of the Congo ,"4.562393, 19.937169"
Mono (Solomon Islands),Threatened,"3,340",Austronesian; Malayo-Polynesian; Oceanic; Meso Melanesian,Solomon Islands ,"-7.05,155.75"
Mono (United States),Critically Endangered,<40,Uto-Aztecan; Northern Uto-Aztecan; Numic,USA ,"37.0943,-119.4999"
Monumbo,Endangered,450,Torricelli; Bogia,Papua New Guinea ,"-4.27, 144.95"
Monzombo,Vulnerable,"12,600",Niger-Congo; Atlantic-Congo; North Volta-Congo; Ubangi,Congo Central African Republic ,"3.0,18.4166666667"
MopÃ¡n,Vulnerable,"10,000-15,000",Mayan; Yucatecan,Guatemala Belize ,"16.5833333333,-88.6666666667"
"Mor (Bomberai Peninsula, Indonesia)",Severely Endangered,60,Isolate; Pacific,Indonesia ,"-2.8607,132.7697"
"Mor (Mor Islands, Indonesia)",Endangered,700,Austronesian; Malayo-Polynesian; South Halmahera-West New Guinea,Indonesia ,"-2.95,135.75"
Mores,Endangered,150,Austronesian; Malayo-Polynesian; Oceanic; Northern Vanuatu,Vanuatu ,"-15.358567,166.935236"
Moresada,Endangered,200,Trans-New Guinea; Madang,Papua New Guinea ,"-4.5017,144.9559"
Moro,Vulnerable,"30,000",Niger-Congo; Heiban; West-Central Heiban,Sudan ,"11.0,30.1666666667"
Morokodo,Threatened,"3,400",Central Sudanic; Bongo-Bagirmi,South Sudan ,"6.0313,29.7949"
Mortlockese,Threatened,"5,900",Austronesian; Malayo-Polynesian; Oceanic; Micronesian,Micronesia ,"5.5811,153.5668"
MosetÃ©n,Vulnerable,">4,800",Isolate; Mosetenan,Bolivia ,"-15.2629,-66.8518"
Mosimo,Severely Endangered,50,Trans-New Guinea; Madang,Papua New Guinea ,"-4.9473,145.5551"
Mota,Endangered,700,Austronesian; Malayo-Polynesian; Oceanic; Northern Vanuatu,Vanuatu ,"-13.82, 167.69"
Motlav,Vulnerable,"2,100",Austronesian; Malayo-Polynesian; Oceanic; Northern Vanuatu,Vanuatu ,"-13.5833333333,167.583333333"
Mount Iraya Agta,Critically Endangered,"a few, if any",Austronesian; Malayo-Polynesian; Greater Central Philippine; Bikol,Philippines ,"13.46, 123.57"
Movima,Threatened,"1,173",Isolate; South American,Bolivia ,"-13.8333333333,-65.6666666667"
Mpi,Endangered,"1,200",Sino-Tibetan; Lolo-Burmese,Thailand ,"18.2554,100.2227"
Mpur,Threatened,7000,Isolate; Pacific,Indonesia ,"-0.75, 133.17"
Mru,Vulnerable,"50,000 (population total, all countries)",Sino-Tibetan; Mruic,India Myanmar Bangladesh ,"21.7748,92.2741"
Muda,Threatened,"2,000",Sino-Tibetan; Lolo-Burmese,China ,"21.8421, 100.6851"
Mudburra,Critically Endangered,~50,Pama-Nyungan; Ngumpin-Yapa,Australia ,"-17.37280975,132.0454005"
Mudhili Gadaba,Threatened,"8,000",Dravidian; Central Dravidian,India ,"18.3858,82.7819"
Mudu Koraga,Threatened,"~1,000",Dravidian; South-Central Dravidian,India ,"12.62, 75.11"
Mufian,Vulnerable,"10,646",Torricelli; Arapeshan,Papua New Guinea ,"-3.58, 142.96"
Muinane,Severely Endangered,78?,Boran,Colombia ,"-1.0,-72.5"
Mulam,Endangered,"30,000",Tai-Kadai; Kam-Tai; Lakkia-Kam-Sui; Kam-Sui,China ,"25.0,108.0"
Mulao,Critically Endangered,only a few elderly speakers,Tai-Kadai; Kra,China ,"26.519, 106.984; 26.525, 107.590"
Muluridyi,Critically Endangered,1,Pama-Nyungan; Yalandyic,Australia ,"-17.084411,145.123767"
MundurukÃº,Threatened,"8,000",Tupian; Mundurukun,Brazil ,"-7.0,-58.0"
Muniwara,Endangered,826,Torricelli; Marienberg Hills,Papua New Guinea ,"-3.79, 143.68"
Munji,Threatened,"3,770",Indo-European; Indo-Iranian; Iranian; Eastern Iranian,Afghanistan ,"36.0379,70.6723"
Munkip,Severely Endangered,12,Trans-New Guinea; Finisterre-Huon,Papua New Guinea ,"-6.45366,146.7479"
Munsee,Critically Endangered,few,Algic; Algonquian; Eastern Algonquian,USA Canada ,"40.8969,-76.3769; 42.57,-81.879"
Murik,Threatened,"<1,256",Lower Sepik-Ramu; Lower Sepik,Papua New Guinea ,"-3.83333333333, 144.25"
Murle,Vulnerable,"60,200",Surmic; Southwest Surmic,Ethiopia South Sudan ,"6.5,33.5"
Mursi,Threatened,"3,278",Surmic; Southeast Surmic,Ethiopia ,"5.58333333333,36.0833333333"
Murui Huitoto,Threatened,"~3,000",Witotoan,Peru Colombia ,"-1.0,-73.5"
Muruwari,Critically Endangered,1,Pama-Nyungan; Muruwaric,Australia ,"-28.94787072,146.6193904"
Muskogee,Severely Endangered,"4,200",Muskogean,USA ,"35.6319,-95.9616"
Muslim Tat,Severely Endangered,"~5,000",Indo-European; Indo-Iranian; Iranian; Western Iranian,Russia Azerbaijan Iran ,"41.25,48.75"
Mussau-Emira,Threatened,"3,651",Austronesian; Malayo-Polynesian; Oceanic; St. Matthias,Papua New Guinea ,"-1.45,149.616666667"
Muya,Vulnerable,"<15,000",Sino-Tibetan; Qiangic,China ,"30.2593,101.7497"
Muzi,Threatened,"10,000",Sino-Tibetan; Lolo-Burmese,China ,"23.277, 103.151; 23.420, 103.281; 23.298, 103. 208"
Mvanip,Threatened,100,Niger-Congo; Atlantic-Congo; Benue-Congo; Northern Bantoid,Nigeria ,"6.7027,11.2225"
Mwatebu,Endangered,120,Austronesian; Malayo-Polynesian; Oceanic; Papuan Tip,Papua New Guinea ,"-10.0202,151.0537"
Mwenyi,Threatened,"6,000",Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid,Zambia ,"-14.733789,22.450461"
Mwesen,Critically Endangered,10,Austronesian; Malayo-Polynesian; Oceanic; Northern Vanuatu,Vanuatu ,"-13.898, 167.538"
Mzieme Naga,Vulnerable,"~29,000",Sino-Tibetan; Zemeic,India ,"25.6019,93.8891"
Na,Threatened,"1,500",Sino-Tibetan; Tani,India ,"28.4638, 93.3041"
Nachering,Vulnerable,10041,Sino-Tibetan; Kiranti,Nepal ,"27.4144,86.7521"
NadÃ«b,Endangered,370,Nadehup; Eastern Makuan,Brazil ,"-1.0,-66.5"
Nafi,Endangered,160,Austronesian; Malayo-Polynesian; Oceanic; North New Guinea,Papua New Guinea ,"-6.3999,146.802"
Nagu,Severely Endangered,206,Austronesian; Malayo-Polynesian; Oceanic; Temotu,Solomon Islands ,"-10.701147,165.897875"
Naha'ai,Endangered,600,Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu,Vanuatu ,"-16.562, 167.490"
Nahari,Vulnerable,"20,400",Indo-European; Indo-Iranian; Indo-Aryan; Eastern Zone,India ,"20.41, 81.98"
Nahavaq,Endangered,700,Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu,Vanuatu ,"-16.498397,167.471161"
Nai,Endangered,454,Kwomtari-Nai,Papua New Guinea ,"-3.73, 141.27"
Najit,Critically Endangered,<5,Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu,Vanuatu ,"-15.954546,167.198012;"
Naka'ela,Critically Endangered,5,Austronesian; Malayo-Polynesian; Central Maluku; Nunusaku,Indonesia ,"-2.847,128.5208"
Nakai,Endangered,a few hundred?,Trans-New Guinea; Ok,Indonesia ,"-5.19, 140.51"
Nakara,Severely Endangered,75-100,Maningrida,Australia ,"-12.166817,134.486542"
Nake,Endangered,170,Trans-New Guinea; Madang,Papua New Guinea ,"-5.3691,145.7218"
Nakwi,Endangered,216,Left May,Papua New Guinea ,"-4.27, 141.60"
Nalu,Vulnerable,"<22,000",Niger-Congo; Atlantic-Congo,Guinea Guinea-Bissau ,"10.9523,-14.7629"
Naluo,Vulnerable,">15,000",Sino-Tibetan; Lolo-Burmese,China ,"26.5895,100.8506"
Namat,Endangered,180,Morehead-Upper Maro,Papua New Guinea ,"-8.83885,141.6379"
Nambi,Endangered,484,Torricelli; Palei,Papua New Guinea ,"-3.53, 142.33"
Nambikwara,Endangered,721,Nambikwaran,Brazil ,"-13.0,-59.0"
Namia,Vulnerable,"3,500",Sepik; Yellow River,Papua New Guinea ,"-3.863, 141.801"
Namo,Endangered,380,Morehead-Upper Maro,Papua New Guinea ,"-9.1834,141.8994"
Namonuito,Endangered,940,Austronesian; Malayo-Polynesian; Oceanic; Micronesian,Micronesia ,"8.6299,150.0128"
Namuyi,Endangered,"5,000",Sino-Tibetan; Naic,China ,"28.204625, 102.070935; 28.00286, 102.119906"
Nanai,Severely Endangered,~180,Tungusic; Southern Tungusic; Amur Tungusic,Russia China ,"47.935, 132.847; 48.217, 133.897; 46.960, 134.059"
Ã‘andeva,Endangered,"19,308",Tupian; Tupi-Guaranian; Guarani,Brazil Argentina Paraguay ,"-22.0652,-54.7558"
Nanga,Threatened,"3,000",Niger-Congo; Dogon; Nangan,Mali ,"14.9, -3.0"
Nanti,Vulnerable,450,Arawakan; Southern Arawakan; Campa,Peru ,"-11.6629,-72.6965"
Napu,Threatened,"6,000",Austronesian; Malayo-Polynesian; Celebic; Kaili-Pamona,Indonesia ,"-1.33333333333,120.416666667"
Nar Phu,Endangered,500,Sino-Tibetan; Tamangic,Nepal ,"28.666667,84.25"
Narau,Severely Endangered,85,Kaure-Narau,Indonesia ,"-3.3818,139.8202"
Nari Nari,Dormant,0?,Pama-Nyungan; Kulinic,Australia ,"-34.53088209,144.3450718"
Narim,Threatened,"3,620",Surmic; Southwest Surmic,South Sudan ,"4.9048,34.2224"
Narmoris,Endangered,~120,Austronesian; Malayo-Polynesian; Oceanic; Northern Vanuatu,Vanuatu ,"-15.4907,167.0814"
Naro,Vulnerable,"~10,000",Khoe; Kalahari,Botswana Namibia ,"-21.677848, 21.717224"
Narungga,Severely Endangered,24,Pama-Nyungan; Thura-Yura,Australia ,"-31.34203119,133.7639065"
Nasal,Vulnerable,~3000,Isolate; Austronesian; Malayo-Polynesian,Indonesia ,"-4.859850, 103.482911; -4.868450, 103.509652; -4.864696, 103.507224"
Nasarian,Critically Endangered,<20,Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu,Vanuatu ,"-16.3517,167.4659"
Nasvang,Endangered,275,Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu,Vanuatu ,"-16.456484,167.664426;"
Natanzi,Threatened,"7,030",Indo-European; Indo-Iranian; Iranian; Western Iranian,Iran ,"33.452,51.3006"
NÄti,Severely Endangered,25,Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu,Vanuatu ,"-16.515, 167.4645"
Nauete,Endangered,"1,000",Austronesian; Malayo-Polynesian; Timor,East Timor ,"-8.7357,126.7053"
Naukan Yupik,Endangered,~200,Eskimo-Aleut; Eskimo; Yupik,Russia ,"66.0,-172.0"
Nauna,Severely Endangered,100,Austronesian; Malayo-Polynesian; Oceanic; Admiralty Islands,Papua New Guinea ,"-2.2159,148.1986"
Nauruan,Threatened,"6,000",Austronesian; Malayo-Polynesian; Oceanic; Micronesian,Nauru ,"-0.5,166.916666667"
Navajo,At Risk,"120,000",Athabaskan-Eyak-Tlingit; Athabaskan; Apachean,USA ,"35.8044,-108.475"
Navwien,Critically Endangered,5,Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu,Vanuatu ,"-16.469, 167.4975"
Nawaru,Endangered,190,Trans-New Guinea; Yareban,Papua New Guinea ,"-9.43713,148.3008"
Nayi,Severely Endangered,"7,188",Afro-Asiatic; Omotic; Dizoid,Ethiopia ,"7.2698,36.1724"
Nayini,Threatened,"7,030",Indo-European; Indo-Iranian; Iranian; Western Iranian,Iran ,"32.8519,53.1573"
Nda'nda',Vulnerable,"10,000 (1990 SIL)","Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Wide Grassfields, Narrow Grassfields, Mbam-Nkam, Bamileke",Cameroon ,"4.605090, 10.199520"
Ndai,Critically Endangered,Few,Niger-Congo; Atlantic-Congo; North Volta-Congo; Adamawa,Cameroon ,"8.399,14.1641"
Ndam,Threatened,"6,500",Afro-Asiatic; Chadic; East Chadic,Chad ,"9.801091, 17.412506"
Nding,Threatened,"3,513",Niger-Congo; Talodi,Sudan ,"10.4121,30.6024"
Ndjebbana,Endangered,241,Maningrida,Australia ,"-12.1624,134.253"
Ndoola,Vulnerable,">10,000",Niger-Congo; Atlantic-Congo; Benue-Congo; Northern Bantoid,Nigeria Cameroon ,"7.29, 11.31"
Ndunda,Endangered,300-400,Niger-Congo; Atlantic-Congo; Benue-Congo; Northern Bantoid,Nigeria ,"6.9482,10.9698"
Ndut,Vulnerable,"25,000-50,000",Niger-Congo; Atlantic-Congo; North Atlantic,Senegal ,"14.912690, -16.993375"
Ndyuka-Trio Pidgin,Dormant,Ã˜,Pidgin or Creole; English based,Suriname ,"2.95, -56.02"
Nedebang,Critically Endangered,~200,Timor-Alor-Pantar,Indonesia ,"-8.275, 124.202"
Negidal,Severely Endangered,~150,Tungusic; Northern Tungusic,Russia ,"53.0,139.0"
NÄ“hiyawÄ“win,Severely Endangered,68,Algic; Algonquian; Cree-Montagnais,Canada ,"54.7200000, -116.7300000"
Neku,Endangered,220,Austronesian; Malayo-Polynesian; Oceanic; New Caledonian,New Caledonia ,"-21.5169,165.4568"
Nemi,Endangered,320,Austronesian; Malayo-Polynesian; Oceanic; New Caledonian,New Caledonia ,"-20.6494,164.6878"
Nen,Endangered,250,Morehead-Upper Maro,Papua New Guinea ,"-8.62, 142.03"
Neo-Mandaic,Severely Endangered,100-200,Afro-Asiatic; Semitic; Aramaic,Iran Iraq ,"31.1913, 48.4009"
Nepali Kurux,Vulnerable,"28,615",Dravidian; North Dravidian,Nepal ,"27.9275,84.2866"
Nez Perce,Critically Endangered,<50,Sahaptian,USA ,"46.4347,-116.8268"
Ngaanyatjarra,Threatened,"1,300",Pama-Nyungan; Wati,Australia ,"-25.983872, 127.007311"
Ngaatjatjara,Severely Endangered,12,Pama-Nyungan; Wati,Australia ,"-24.951158,125.958117"
Ngala,Endangered,136,Sepik; Ndu,Papua New Guinea ,"-4.22804,142.5105"
Ngalakgan,Dormant,No known L1 speakers,Gunwinyguan,Australia ,"-14.300215, 134.298144"
Ngaliwurru,Endangered,~100,Mirndi,Australia ,"-15.789444,130.875896"
Ngalum,Vulnerable,"18,000",Trans-New Guinea; Ok,Indonesia Papua New Guinea ,"-4.68, 141.03"
Ngamini,Critically Endangered,2,Pama-Nyungan; Karnic,Australia ,"-27.07538021,139.0719368"
Ngamo,Vulnerable,"~60,000",Afro-Asiatic; Chadic; West Chadic,Nigeria ,"6.772275,37.313475"
Ngan'gityemerri,Endangered,~150,Southern Daly,Australia ,"-14.268, 131.237"
Nganasan,Severely Endangered,~500,Uralic; Samoyedic,Russia ,"71.0,93.0"
Ngandi,Critically Endangered,9,Gunwinyguan; East Arnhem,Australia ,"-14.08540036,135.3815377"
Nganyaywana,Dormant,0?,Pama-Nyungan; Anewan,Australia ,"-30.46683576, 151.5553039"
Ngardi,Severely Endangered,10,Pama-Nyungan; Ngumpin-Yapa,Australia ,"-20.85043936,128.8885148"
Ngarigu,Dormant,0?,Pama-Nyungan; Yuin-Kuric,Australia ,"-36.30008261,148.7238073"
Ngarinyin,Critically Endangered,~12,Worrorran; Southern Worrorran,Australia ,"-16.601517,125.536117"
Ngarinyman,Endangered,<170,Pama-Nyungan; Ngumpin-Yapa,Australia ,"-16.97501636,131.9362017"
Ngarla,Critically Endangered,Very few,Pama-Nyungan; Ngayarta,Australia ,"-20.37356029,118.8259443"
