Language,Level of Endangerment,Number of Speakers,Linguistic Family,Countries,Coordinates,Latitude,Longitude
Kawaiisu,Critically endangered,3,Uto-Aztecan; Northern Uto-Aztecan; Numic,USA ,"35.0589,-118.4026",35.0589,-118.4026
KawÃ©sqar,Critically endangered,7,Kawesqaran,Chile ,"-49.0,-75.0",-49.0,-75.0
KaxararÃ­,Vulnerable,~300,Pano-Tacanan; Mainline,Brazil ,"-9.5682,-66.1596",-9.5682,-66.1596
KayabÃ­,Vulnerable,"1,000",Tupian; Tupi-Guaranian; Tupi-Kawahib,Brazil ,"-11.0,-55.5",-11.0,-55.5
Kayardild,Critically endangered,5,Tangkic,Australia ,"-17.08808051,139.4873823",-17.08808051,139.4873823
Kayeli,Critically endangered,3,Austronesian; Malayo-Polynesian; Central Maluku; Nunusaku,Indonesia ,"-3.39,127.1008",-3.39,127.1008
Kaytetye,Definitely endangered,200,Pama-Nyungan; Arandic,Australia ,"-20.61525316,134.235744",-20.61525316,134.235744
Kayupulau,Severely endangered,573,Austronesian; Malayo-Polynesian; Oceanic; North New Guinea,Indonesia ,"-2.5464,140.725",-2.5464,140.725
Keder,Definitely endangered,370,Orya-Tor; Tor,Indonesia ,"-2.043,139.0979",-2.043,139.0979
Kehu,Severely endangered,25,Isolate; Pacific,Indonesia ,"-3.19, 136.14",-3.19, 136.14
Keiga,Vulnerable,"6,070",Kadu,Sudan ,"11.3184,29.696",11.3184,29.696
Kelo,Definitely endangered,200,Eastern Jebel,South Sudan ,"9.4463,34.0219",9.4463,34.0219
Kelon,Vulnerable,5000,Timor-Alor-Pantar; Alor,Indonesia ,"-8.400314,124.420714",-8.400314,124.420714
Kemak,Vulnerable,"72,000",Austronesian; Malayo-Polynesian; Timor,Indonesia East Timor ,"-8.933758,125.175292",-8.933758,125.175292
Kembra,Severely endangered,20,Unclassified; Lepki-Murkim-Kembra?,Indonesia ,"-3.908,140.3942",-3.908,140.3942
Kendeje,Definitely endangered,"<2,000",Maban,Chad ,"13.6299,21.5771",13.6299,21.5771
Kendem,Vulnerable,"1,000",Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid,Cameroon ,"5.7061,9.6377",5.7061,9.6377
Keningau Murut,Vulnerable,"7,000",Austronesian; Malayo-Polynesian; North Borneo; North Sarawakan,Malaysia ,"5.366803,116.201303",5.366803,116.201303
Kensiu,Definitely endangered,500,Austro-Asiatic; Aslian; North Aslian; Maniq,Thailand Malaysia ,"7.1712,99.7915",7.1712,99.7915
Kerek,Critically endangered,<10,Chukotko-Kamchatkan; Chukotkan,Russia ,"62.25,175.0",62.25,175.0
Kesha'i,Definitely endangered,200,Indo-European; Indo-Iranian; Iranian; Northwest Iranian; Central Plateau,Iran ,"33.23, 51.47",33.23, 51.47
Ket,Definitely endangered,~500,Yeniseian; Northern Yeniseian,Russia ,"64.0,87.0",64.0,87.0
Ketum,Definitely endangered,900,Trans-New Guinea; Awyu,Indonesia ,"-5.35, 140.60",-5.35, 140.60
Khakas,Vulnerable,"6,000",Turkic; Siberian Turkic; Yenisei Turki,Russia ,"53.0,90.0",53.0,90.0
Khalaj,Vulnerable,"20,000","Turkic, Southern",Iran ,"34.3751, 50.3063",34.3751, 50.3063
Khaling,Vulnerable,"15,000",Sino-Tibetan; Kiranti,India Nepal ,"27.5781,86.7163",27.5781,86.7163
Khamba,Vulnerable,"1,330",Sino-Tibetan; Bodish,India ,"29.0105,94.7653",29.0105,94.7653
Khamnigan Ewenki,Vulnerable,"~1,000",Tungusic; Northern Tungusic,Russia China Mongolia ,"49.296, 119.797",49.296, 119.797
Khamnigan Mongol,Severely endangered,~300,Mongolic; Common Mongolic; Northern Common Mongolic,Russia China Mongolia ,"49.296, 119.797",49.296, 119.797
Khamyang,Critically endangered,50,Tai-Kadai; Kam-Tai; Be-Tai; Tai; Southwest-Central Tai; Southwestern Tai,India ,"26.89, 93.99",26.89, 93.99
KhÃ¡ng,Vulnerable,"3,921",Austro-Asiatic; Palaungic; East Palaungic; Bit-Khang,Vietnam ,"22.0333,102.6666",22.0333,102.6666
Khatso,Vulnerable,"5,432",Sino-Tibetan; Tibeto-Burman; Loloâ€“Burmese; Loloish;,China ,"24.148024, 102.664922",24.148024, 102.664922
Khe,Vulnerable,"1,300 in Burkina Faso",Niger-Congo; Atlantic-Congo; North Volta-Congo; Gur,Burkina Faso CÃ´te d'Ivoire ,"10.004691, -4.240826",10.004691, -4.240826
Khengkha,Vulnerable,"~40,000",Sino-Tibetan; Bodish,Bhutan ,"27.0786,91.0272",27.0786,91.0272
Khezha Naga,Vulnerable,"<23,000",Sino-Tibetan; Angami-Pochuri,India ,"25.6811,94.367",25.6811,94.367
Khiamniungan Naga,Vulnerable,"47,800",Sino-Tibetan; Brahmaputran,India ,"26.229961,95.035461",26.229961,95.035461
Khinalugh,Vulnerable,"3,000",Northeast Caucasian; Daghestanian,Azerbaijan ,"41.1666666667,48.0833333333",41.1666666667,48.0833333333
Khowar,Vulnerable,"300,000",Indo-European; Indo-Iranian; Indo-Aryan; Northwestern Zone,Pakistan India ,"36.0,72.0",36.0,72.0
Khufi,Vulnerable,"~2,380",Indo-European; Indo-Iranian; Iranian; Eastern Iranian,Afghanistan ,"37.859500, 71.603726",37.859500, 71.603726
Khunsari,Vulnerable,"21,100",Indo-European; Indo-Iranian; Iranian; Western Iranian,Iran ,"32.8795,51.6796",32.8795,51.6796
Khvarshi,Vulnerable,~300,Northeast Caucasian; Daghestanian; Tsezic,Russia ,"42.25,46.1666666667",42.25,46.1666666667
Kiai,Definitely endangered,450,Austronesian; Malayo-Polynesian; Oceanic; Northern Vanuatu,Vanuatu ,"-15.45, 166.93",-15.45, 166.93
Kibiri-Porome,Vulnerable,1180,Isolate; Pacific,Papua New Guinea ,"-7.45, 144.30",-7.45, 144.30
Kija,Severely endangered,~100,Jarrakan,Australia ,"-17.72282433,127.6836782",-17.72282433,127.6836782
Kildin Saami,Severely endangered,~300,Uralic; Saami,Russia ,"68.004353, 35.001731",68.004353, 35.001731
Kilen,Severely endangered,20 in China,Tungusic; Southern Tungusic; Amur Tungusic,Russia China ,"47.4689, 133.8574",47.4689, 133.8574
Kili,Definitely endangered,~100,Tungusic; Southern Tungusic; Amur Tungusic,Russia ,"48.8068, 134.121",48.8068, 134.121
Kiliwa,Critically endangered,<8,Cochimi-Yuman; Yuman,Mexico ,"31.3333333333,-115.666666667",31.3333333333,-115.666666667
Kilmeri,Vulnerable,"2,200",Border; Bewani,Papua New Guinea ,"-2.89, 141.19",-2.89, 141.19
Kim,Vulnerable,"15,400",Niger-Congo; Atlantic-Congo; North Volta-Congo; Adamawa,Chad ,"9.91666666667,15.9166666667",9.91666666667,15.9166666667
Kimki,Vulnerable,500,Isolate,Indonesia ,"-4.27, 140.88",-4.27, 140.88
Kinalakna,Definitely endangered,220,Trans-New Guinea; Finisterre-Huon,Papua New Guinea ,"-6.040325165,147.4664001",-6.040325165,147.4664001
Kinnauri,Vulnerable,"<84,000",Sino-Tibetan; Tibeto-Kanauri,India ,"31.5,78.0",31.5,78.0
Kiong,Severely endangered,<100,Niger-Congo; Atlantic-Congo; Benue-Congo; Delta Cross,Nigeria ,"5.2906,8.3523",5.2906,8.3523
Kiowa,Critically endangered,<100,Kiowa-Tanoan,USA ,"35.1016,-98.6197",35.1016,-98.6197
Kiput,Definitely endangered,450,Austronesian; Malayo-Polynesian; North Borneo; North Sarawakan,Malaysia ,"4, 114.4",4, 114.4
Kire,Vulnerable,"1,900",Lower Sepik-Ramu; Ramu; Lower Ramu,Papua New Guinea ,"-4.26, 144.71",-4.26, 144.71
Kirikiri,Definitely endangered,250,Lakes Plain,Indonesia ,"-3.0,137.166666667",-3.0,137.166666667
Kis,Definitely endangered,216,Austronesian; Malayo-Polynesian; Oceanic; North New Guinea,Papua New Guinea ,"-3.509520054,142.7848358",-3.509520054,142.7848358
Kiwilwana,Vulnerable,"8,000",Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid,Kenya ,"0.706844,39.802647",0.706844,39.802647
Ko,Vulnerable,"2,680",Niger-Congo; Heiban; Eastern Heiban,Sudan ,"10.6714,30.8386",10.6714,30.8386
Kobiana,Definitely endangered,~400,Niger-Congo; Atlantic-Congo; North Atlantic,Senegal Guinea-Bissau ,"12.4017,-16.3229",12.4017,-16.3229
Koda,Vulnerable,"25,000",Austro-Asiatic; Munda; North Munda; Kherwarian,India Bangladesh ,"22.1263,87.0776",22.1263,87.0776
Kodagu,Vulnerable,"97,011",Dravidian; South Dravidian,India ,"12.1666666667,76.8333333333",12.1666666667,76.8333333333
Kodeoha,Vulnerable,"1,500",Austronesian; Malayo-Polynesian; Celebic; Bungku-Tolaki,Indonesia ,"-3.4147,120.9155",-3.4147,120.9155
Kodiak Russian Creole,Critically endangered,5,Pidgin or Creole; Russian based,Russia USA ,"65.700241, -174.149151",65.700241, -174.149151
Kofei,Severely endangered,100,East Geelvink Bay,Indonesia ,"-2.3833,136.7907",-2.3833,136.7907
Koi,Vulnerable,"2,000-3,000",Sino-Tibetan; Kiranti,Nepal ,"27.3607,86.8661",27.3607,86.8661
Koireng,Vulnerable,"1,410",Sino-Tibetan; Kukish,India ,"24.2319,93.7463",24.2319,93.7463
Koitabu,Vulnerable,"2,700",Trans-New Guinea; Koiarian,Papua New Guinea ,"-9.33333333333,147.083333333",-9.33333333333,147.083333333
Koiwat,Definitely endangered,~450,Sepik; Ndu,Papua New Guinea ,"-4.03, 143.62",-4.03, 143.62
Kok-Nar,Extinct,0?,Pama-Nyungan; Paman,Australia ,"-16.17852418,141.5751913",-16.17852418,141.5751913
Kokatha,Critically endangered,3,Pama-Nyungan; Wati,Australia ,"-29.40268488, 133.4980182",-29.40268488, 133.4980182
Koke,Definitely endangered,600,Niger-Congo; Atlantic-Congo; North Volta-Congo; Adamawa,Chad ,"10.8575,18.1315",10.8575,18.1315
Koko Babangk,Extinct,No known L1 speakers,Pama-Nyungan; Paman,Australia ,"-15.826024, 141.480158",-15.826024, 141.480158
Koko-Bera,Severely endangered,<15,Pama-Nyungan; Paman,Australia ,"-15.46465646,142.0337612",-15.46465646,142.0337612
Kolakngat,Extinct,0?,Pama-Nyungan; Kulinic,Australia ,"-38.471266,143.422444",-38.471266,143.422444
Kolbila,Definitely endangered,A few hundred,Niger-Congo; Atlantic-Congo; North Volta-Congo; Adamawa,Cameroon ,"8.21149,12.677794",8.21149,12.677794
Kom,Vulnerable,"15,467",Sino-Tibetan; Kukish,India ,"24.0414,93.6639",24.0414,93.6639
Kombio,Definitely endangered,"2,970",Torricelli; Kombian,Papua New Guinea ,"-3.48, 142.69",-3.48, 142.69
Komi-Permyak,Vulnerable,"110,000",Uralic; Permian,Russia ,"59.5,54.5",59.5,54.5
Kominimung,Definitely endangered,328,Lower Sepik-Ramu; Ramu; Tamolan,Papua New Guinea ,"-4.69, 144.78",-4.69, 144.78
Komnzo,Definitely endangered,~200,Morehead-Upper Maro,Papua New Guinea ,"-8.702164, 141.587799",-8.702164, 141.587799
Komo,Vulnerable,"1,435",Koman,Ethiopia South Sudan ,"8.75,33.75",8.75,33.75
Konda-Dora,Vulnerable,"15,000",Dravidian; South Dravidian,India ,"19.5,83.0",19.5,83.0
Koneraw,Vulnerable,"1,200",Trans-New Guinea; Mombum,Indonesia ,"-8.3854,137.9415",-8.3854,137.9415
Konkow,Critically endangered,3,Maiduan,USA ,"39.467,-121.5155",39.467,-121.5155
Konni,Vulnerable,"3,800",Niger-Congo; Atlantic-Congo; North Volta-Congo; Gur,Ghana ,"10.25,-1.58333333333",10.25,-1.58333333333
Konomala,Definitely endangered,800,Austronesian; Malayo-Polynesian; Oceanic; Meso Melanesian,Papua New Guinea ,"-4.169494,152.889711",-4.169494,152.889711
Konyak Naga,Vulnerable,"~70,000",Sino-Tibetan; Brahmaputran,India ,"26.9367,95.1745",26.9367,95.1745
Kopar,Definitely endangered,229,Lower Sepik-Ramu; Lower Sepik,Papua New Guinea ,"-3.86342597, 144.5258484",-3.86342597, 144.5258484
Kopkaka,Definitely endangered,400,Trans-New Guinea; Ok,Indonesia ,"-4.91, 139.93",-4.91, 139.93
Korana,Critically endangered,1,Khoe; Khoekhoe,South Africa ,"-29.5,20.5",-29.5,20.5
Korku,Vulnerable,"200,000",Austro-Asiatic; Munda; North Munda; Korku,India ,"22.5,78.5",22.5,78.5
Koro (India),Definitely endangered,"800-1,200",Unclassified; Sino-Tibetan?,India ,"27.1667, 92.6312",27.1667, 92.6312
Koro (Vanuatu),Definitely endangered,250,Austronesian; Malayo-Polynesian; Oceanic; Northern Vanuatu,Vanuatu ,"-14.3242,167.4728",-14.3242,167.4728
Koroni,Definitely endangered,500,Austronesian; Malayo-Polynesian; Celebic; Bungku-Tolaki,Indonesia ,"-2.6412,121.9894",-2.6412,121.9894
Korowai,Vulnerable,"3,500",Trans-New Guinea; Awyu,Indonesia ,"-5.25,140.0",-5.25,140.0
Korra Koraga,Vulnerable,"14,000",Dravidian; South-Central Dravidian,India ,"11.6952,75.6738",11.6952,75.6738
Korubo,Severely endangered,26,Pano-Tacanan; Mayoruna,Brazil ,"-5.8346,-70.9277",-5.8346,-70.9277
Korwa,Vulnerable,">35,000",Austro-Asiatic; Munda; North Munda; Kherwarian,India ,"22.4922,84.1552",22.4922,84.1552
Koryak,Definitely endangered,"~3,000",Chukotko-Kamchatkan; Chukotkan,Russia ,"61.0,167.0",61.0,167.0
Kosadle,Definitely endangered,250,Isolate,Indonesia ,"-3.79, 140.20",-3.79, 140.20
Kosraean,Vulnerable,"8,570",Austronesian; Malayo-Polynesian; Oceanic; Micronesian,Nauru Micronesia ,"5.3,163.0",5.3,163.0
Kota (India),Definitely endangered,900,Dravidian; South Dravidian,India ,"11.5,77.1666666667",11.5,77.1666666667
Kove,Vulnerable,"6,750",Austronesian; Malayo-Polynesian; Oceanic; North New Guinea,Papua New Guinea ,"-5.58333333333,149.666666667",-5.58333333333,149.666666667
Kowaki,Severely endangered,~30,Trans-New Guinea; Madang,Papua New Guinea ,"-4.63, 145.41",-4.63, 145.41
Kowiai,Definitely endangered,600,Austronesian; Malayo-Polynesian,Indonesia ,"-3.9437,134.0881",-3.9437,134.0881
Koyukon,Critically endangered,150,Athabaskan-Eyak-Tlingit; Dene (Athabaskan),USA ,"64.881667, -157.704444",64.881667, -157.704444
Kpan,Vulnerable,"11,400",Niger-Congo; Atlantic-Congo; Benue-Congo; Jukonoid,Nigeria ,"7.58333333333,10.1666666667",7.58333333333,10.1666666667
Kpatili,Vulnerable,"4,500",Niger-Congo; Atlantic-Congo; North Volta-Congo; Ubangi,Central African Republic ,"5.301989, 21.889473",5.301989, 21.889473
KrahÃ´,Vulnerable,"2,184",Jean; Northern Je,Brazil ,"-8.4071, -47.2851",-8.4071, -47.2851
Kraol,Vulnerable,1960,Austro-Asiatic; Bahnaric; Central Bahnaric; South Bahnaric; Mnong,Cambodia ,"13.588,106.9438",13.588,106.9438
Kravet,Vulnerable,"2,380",Austro-Asiatic; Bahnaric; Eastern Bahnaric; West Bahnaric; Brao-Kravet,Cambodia ,"14.0175,107.0136",14.0175,107.0136
Kreen-Akarore,Definitely endangered,~250,Jean; Northern Je,Brazil ,"-10.0,-55.0",-10.0,-55.0
Krenak,Severely endangered,~10,Krenakan,Brazil ,"-15.5,-41.0",-15.5,-41.0
Kreye,Definitely endangered,496,Jean; Northern Je,Brazil ,"-2.5644,-46.6589",-2.5644,-46.6589
Kri,Severely endangered,~250,Austro-Asiatic; Vietic; Pong-Chut,Laos ,"18.25, 105",18.25, 105
Krim,Critically endangered,a few hundred,Niger-Congo; Atlantic-Congo; Mel,Sierra Leone ,"7.2425,-11.9476",7.2425,-11.9476
Krongo,Vulnerable,"21,700",Kadu,Sudan ,"10.5,30.0",10.5,30.0
Kru'ng 2,Vulnerable,"18,400",Austro-Asiatic; Bahnaric; Eastern Bahnaric; West Bahnaric; Brao-Kravet,Cambodia ,"13.57, 106.76",13.57, 106.76
Krymchak,Critically endangered,200,Turkic; Kipchak,Georgia Ukraine Bulgaria Romania ,"45.0,34.0833333333",45.0,34.0833333333
Kryts,Definitely endangered,"<5,000",Northeast Caucasian; Daghestanian; Lezgic,Azerbaijan ,"41.0833333333,48.0",41.0833333333,48.0
Ktunaxa,Severely endangered,26,Isolate; North American,USA Canada ,"50.0500000, -116.0500000",50.0500000, -116.0500000
Kubeo,Vulnerable,"7,900",Tucanoan; Eastern Tucanoan,Brazil Colombia ,"1.33333333333,-70.5",1.33333333333,-70.5
Kucong,Vulnerable,"~45,000",Sino-Tibetan; Lolo-Burmese,China Vietnam ,"22.6166,102.75",22.6166,102.75
Kudu-Camo,Severely endangered,a few,Niger-Congo; Atlantic-Congo; Benue-Congo; Kainji,Nigeria ,"11.0166,8.8879",11.0166,8.8879
Kugbo,Vulnerable,"2,000",Niger-Congo; Atlantic-Congo; Benue-Congo; Delta Cross,Nigeria ,"4.746150, 6.651764",4.746150, 6.651764
Kugu-Nganhcara,Severely endangered,<50,Pama-Nyungan; Paman,Australia ,"-14.167,141.842",-14.167,141.842
Kui (India),Vulnerable,"<500,000",Dravidian; South Dravidian,India ,"20.0,83.5",20.0,83.5
Kui (Indonesia),Vulnerable,"4,240",Timor-Alor-Pantar; Alor,Indonesia ,"-8.43333333333,124.55",-8.43333333333,124.55
Kuikuro,Vulnerable,"1,106",Cariban; Nahukwa,Brazil ,"-12.4166666667,-53.0833333333",-12.4166666667,-53.0833333333
Kujarge,Definitely endangered,"~1,000",Unclassified; Afro-Asiatic?,Chad ,"11.749,22.2431",11.749,22.2431
Kuk,Vulnerable,"3,000",Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid,Cameroon ,"6.461755, 10.131270",6.461755, 10.131270
Kukatja,Vulnerable,"1,000",Pama-Nyungan; Wati,Australia ,"-20.242549,127.534736",-20.242549,127.534736
